image_name,target
ISIC_0052060,7.0007394e-07
ISIC_0052349,3.3644035e-05
ISIC_0058510,5.0105937e-05
ISIC_0073313,0.002881715
ISIC_0073502,8.262699e-06
ISIC_0074618,0.00010686816
ISIC_0076801,0.0031996684
ISIC_0077586,5.8127654e-05
ISIC_0082004,0.0005271731
ISIC_0082785,6.2328886e-06
ISIC_0085332,1.6826822e-06
ISIC_0087243,5.472636e-06
ISIC_0088167,1.736667e-05
ISIC_0089356,7.090408e-05
ISIC_0090283,0.0002756388
ISIC_0092481,4.1236585e-06
ISIC_0095455,2.7180164e-05
ISIC_0095790,0.000109538625
ISIC_0097719,0.069623224
ISIC_0099348,0.008971016
ISIC_0101040,5.181354e-05
ISIC_0101383,0.00023666315
ISIC_0105104,0.14539033
ISIC_0108196,4.649765e-05
ISIC_0112420,0.3332691
ISIC_0114232,7.81324e-07
ISIC_0115798,0.0016777972
ISIC_0116844,1.3844186e-06
ISIC_0126432,0.00015283868
ISIC_0131485,3.976068e-07
ISIC_0131912,6.4962364e-06
ISIC_0131978,6.7367337e-06
ISIC_0139322,0.001063848
ISIC_0142066,0.0262662
ISIC_0143109,0.004371467
ISIC_0148210,0.0014480732
ISIC_0148937,0.00013031776
ISIC_0150213,0.00015076366
ISIC_0152553,6.5840773e-06
ISIC_0153127,6.397117e-05
ISIC_0154289,0.00013837339
ISIC_0155813,0.06723663
ISIC_0155983,0.03292482
ISIC_0157088,1.484916e-05
ISIC_0158761,7.4404393e-06
ISIC_0161963,0.004948846
ISIC_0165178,0.024479365
ISIC_0165230,8.6182095e-05
ISIC_0165615,1.8010281e-06
ISIC_0165617,2.2482778e-05
ISIC_0165674,6.0266348e-06
ISIC_0165928,0.00026997464
ISIC_0166561,0.00053422217
ISIC_0168125,0.00031148095
ISIC_0169378,0.0013790748
ISIC_0169575,3.94792e-05
ISIC_0169906,0.034417838
ISIC_0171865,0.0039062498
ISIC_0172678,5.755676e-05
ISIC_0174800,0.00040621185
ISIC_0175014,0.051330384
ISIC_0175798,0.1942575
ISIC_0176152,0.0062378105
ISIC_0177083,1.594872e-06
ISIC_0178235,0.7603747
ISIC_0178258,0.005390411
ISIC_0178428,0.0071525048
ISIC_0178741,0.023151191
ISIC_0180057,0.00062261435
ISIC_0182213,0.075665355
ISIC_0183334,0.00010224561
ISIC_0183449,0.039558597
ISIC_0183658,0.00018355976
ISIC_0183771,0.00021708655
ISIC_0186715,0.009891759
ISIC_0187786,1.3097174e-05
ISIC_0188485,7.997957e-06
ISIC_0191895,0.0032664386
ISIC_0192184,1.5198146e-05
ISIC_0192807,2.139501e-05
ISIC_0193289,0.0006046816
ISIC_0194115,0.00067344186
ISIC_0195744,0.020313222
ISIC_0195995,7.88253e-06
ISIC_0196159,0.04742595
ISIC_0196622,0.0008543371
ISIC_0196807,0.00027653362
ISIC_0197182,1.206931e-05
ISIC_0197440,0.00775972
ISIC_0197860,0.0010694446
ISIC_0198376,0.00026966483
ISIC_0198622,0.0040241634
ISIC_0199195,1.2229148e-07
ISIC_0199718,1.41439e-06
ISIC_0199780,0.00016145072
ISIC_0200120,0.052411
ISIC_0204399,4.4603244e-06
ISIC_0204875,0.000114874005
ISIC_0205627,1.4560398e-05
ISIC_0206261,0.00022771907
ISIC_0206934,0.00019323142
ISIC_0207197,0.0018063694
ISIC_0208233,0.20836556
ISIC_0209640,0.00016318525
ISIC_0210915,6.819355e-05
ISIC_0212435,0.008683569
ISIC_0212468,1.1028156e-05
ISIC_0213848,3.103022e-05
ISIC_0216203,1.5422578e-05
ISIC_0216447,0.06937868
ISIC_0220438,0.009357163
ISIC_0220466,0.00028525616
ISIC_0223354,1.2642799e-07
ISIC_0223463,0.0015731842
ISIC_0223760,1.1276651e-07
ISIC_0224309,7.824864e-05
ISIC_0225471,8.6469365e-05
ISIC_0225894,1.1914237e-06
ISIC_0226234,0.00029273969
ISIC_0227767,9.050687e-06
ISIC_0228452,3.7314046e-05
ISIC_0229266,0.00025625236
ISIC_0230247,6.129076e-05
ISIC_0230499,1.9051235e-05
ISIC_0231539,0.003504149
ISIC_0231788,1.8993625e-05
ISIC_0232763,0.0010134329
ISIC_0235107,0.008010316
ISIC_0235501,0.2449326
ISIC_0235505,0.0012086614
ISIC_0235542,1.9924313e-05
ISIC_0238185,4.6965593e-05
ISIC_0238872,0.0036070135
ISIC_0239635,9.857867e-06
ISIC_0240839,0.00027465954
ISIC_0241566,0.5286519
ISIC_0243686,0.00021416396
ISIC_0243937,0.0007672991
ISIC_0244266,0.00045616413
ISIC_0244465,2.3322424e-05
ISIC_0244617,0.04415619
ISIC_0244885,0.00017957781
ISIC_0245273,1.9874768e-05
ISIC_0246008,0.00011150892
ISIC_0246211,2.1581742e-05
ISIC_0248702,9.444396e-05
ISIC_0251455,0.0658253
ISIC_0251656,7.3951865e-05
ISIC_0252811,6.321216e-05
ISIC_0254594,1.433726e-05
ISIC_0255112,5.6340705e-05
ISIC_0256267,1.0484773e-06
ISIC_0258149,0.00021830888
ISIC_0258489,2.7509677e-07
ISIC_0258717,2.9671164e-05
ISIC_0259209,0.6179584
ISIC_0259237,0.00038638985
ISIC_0261866,0.0028944418
ISIC_0261904,2.4853336e-05
ISIC_0261907,7.0074807e-06
ISIC_0262392,0.00024495026
ISIC_0262492,0.00010752974
ISIC_0263920,2.4215394e-06
ISIC_0265011,2.863234e-05
ISIC_0267082,8.688503e-05
ISIC_0268025,5.683886e-07
ISIC_0268451,0.0005345637
ISIC_0269476,0.002197012
ISIC_0270022,0.00013104476
ISIC_0270367,0.00091183063
ISIC_0271223,2.9550658e-06
ISIC_0272190,0.0002417722
ISIC_0273533,1.1406849e-05
ISIC_0274458,0.0005249312
